chr1	236331358	236333569
chr1	207921518	207922987
chr1	213842942	213846022
chr1	164628251	164630648
chr1	211506623	211510663
chr1	214160389	214164513
chr1	27240401	27241777
chr1	214223589	214224892
chr1	229306493	229309456
chr1	177867006	177868926
chr1	225627786	225629760
chr1	207100498	207101513
chr1	241355045	241356414
chr1	203394254	203398875
chr1	59663883	59666608
chr1	233842683	233844294
chr1	228566239	228569779
chr1	213746100	213747559
chr1	205285367	205289428
chr1	72409098	72410203
chr1	185554410	185555881
chr1	40310234	40311985
chr1	205242423	205245492
chr1	236259757	236261254
chr1	145434639	145435902
chr1	202014571	202016753
chr1	109407580	109409036
chr1	240946392	240947778
chr1	177881856	177883061
chr1	3236462	3237829
chr1	24740862	24742344
chr1	193147770	193148800
chr1	165826633	165829209
chr1	209826189	209828305
chr1	226160562	226161976
chr1	92082772	92083616
chr1	246958047	246960125
chr1	15749971	15751385
chr1	20140877	20143007
chr1	196762880	196763593
chr1	191577314	191578312
chr1	154973181	154974218
chr1	168908569	168909450
chr1	172647847	172649056
chr1	209212178	209213266
chr1	229363427	229367829
chr1	235113680	235115292
chr1	230864140	230865679
chr1	228676819	228679146
chr1	151511836	151512754
chr1	23945164	23947467
chr1	245339683	245341567
chr1	5611173	5612498
chr1	160508407	160510338
chr1	23888297	23889362
chr1	110591550	110592876
chr1	17552665	17554022
chr1	211848859	211849967
chr1	229002912	229005106
chr1	31359484	31360705
chr1	204052548	204054743
chr1	167134619	167136759
chr1	153540189	153541798
chr1	1071867	1073176
chr1	3299848	3300949
chr1	235570461	235571429
chr1	110348080	110348753
chr1	230886589	230890077
chr1	174844107	174845512
chr1	221915452	221916093
chr1	204182549	204183987
chr1	204462155	204463565
chr1	116721048	116722437
chr1	180137459	180138727
chr1	155971924	155973958
chr1	23071796	23073231
chr1	68097301	68098111
chr1	236464228	236465812
chr1	245223580	245224543
chr1	60279825	60280425
chr1	229277519	229278763
chr1	15634488	15635497
chr1	198806508	198807368
chr1	227953626	227954898
chr1	14158699	14159576
chr1	59349125	59352132
chr1	150585705	150587298
chr1	153538485	153539764
chr1	212740184	212741307
chr1	67234439	67235445
chr1	183856703	183858006
chr1	200379372	200380237
chr1	212098276	212099010
chr1	156367907	156368572
chr1	226167142	226168712
chr1	43735613	43736895
chr1	163291285	163292201
chr1	145450995	145451764
chr1	231346896	231348173
chr1	216995274	216996448
chr1	6542939	6543965
chr1	47154791	47155596
chr1	153769255	153770382
chr1	226062692	226063735
chr1	3409943	3411818
chr1	45196143	45197212
chr1	201474216	201476038
chr1	7426451	7428130
chr1	16574976	16576098
chr1	222817329	222818337
chr1	160983427	160984405
chr1	116453742	116454401
chr1	169071806	169073396
chr1	208350813	208352138
chr1	224399997	224401294
chr1	51983308	51984116
chr1	235092419	235094795
chr1	153455958	153457538
chr1	201986897	201988332
chr1	219486346	219487313
chr1	153095113	153096051
chr1	159198913	159200587
chr1	204680725	204682284
chr1	202074959	202078214
chr1	225668568	225670098
chr1	151485488	151486721
chr1	225964493	225965413
chr1	236443734	236444467
chr1	165599094	165601622
chr1	39860013	39861486
chr1	167034342	167035409
chr1	201992199	201992893
chr1	194264601	194265184
chr1	24444387	24446935
chr1	28835742	28837525
chr1	48558792	48559887
chr1	155176641	155177053
chr1	150953653	150955338
chr1	88641157	88641856
chr1	28648570	28649204
chr1	225629979	225634932
chr1	236677905	236679722
chr1	203258884	203260474
chr1	147806505	147807738
chr1	246378231	246379190
chr1	201095678	201096374
chr1	110477648	110478778
chr1	17559558	17560646
chr1	72289048	72289827
chr1	155016986	155017667
chr1	11118397	11118940
chr1	169073695	169075226
chr1	220605492	220606476
chr1	11028459	11029073
